press_id,cycle_index,activation_no,i_inrush_peak_a,t_inrush_ms,i2t_activation_a2s,t_hf_min,i_anode_a,u_anode_v,damage_true,fuse_blown,split
P01,25,2,833.8,15.13,3507.6,10.34,6.688,7023.3,0.68381,0,test
P01,26,1,890.3,14.96,3953.3,3.66,6.761,7031.1,0.69453,0,test
P01,26,2,760.5,19.2,3700.7,4.24,6.758,7028.2,0.70545,0,test
P01,26,3,776.2,17.61,3537.0,3.51,6.767,7026.5,0.71138,0,test
P01,27,1,949.9,19.74,5937.6,5.73,6.953,7027.0,0.72995,0,test
P01,27,2,866.4,17.95,4491.8,5.38,6.904,7031.0,0.74448,0,test
P01,27,3,844.2,17.36,4124.7,7.54,6.927,7045.4,0.75558,0,test
P01,28,1,919.6,13.26,3738.0,4.4,6.759,7037.0,0.76498,0,test
P01,28,2,841.8,20.64,4876.4,5.6,6.755,7019.9,0.77886,0,test
P01,29,1,880.4,19.89,5139.8,2.84,6.82,7044.1,0.79401,0,test
P01,29,2,725.8,14.79,2596.5,5.11,6.824,7029.7,0.80029,0,test
P01,29,3,845.8,13.38,3191.2,3.26,6.822,7034.8,0.80833,0,test
P01,30,1,906.5,15.3,4191.4,5.41,6.933,7034.7,0.82036,0,test
P01,30,2,875.9,15.35,3925.6,5.4,6.923,7023.2,0.83307,0,test
P01,31,1,922.0,22.17,6282.7,7.39,6.798,7011.5,0.85125,0,test
P01,31,2,780.1,15.08,3058.3,8.02,6.802,7035.7,0.85964,0,test
P01,32,1,886.9,18.06,4736.3,5.51,6.853,6993.9,0.87391,0,test
P01,32,2,770.1,17.31,3423.0,6.02,6.836,7032.4,0.88096,0,test
P01,32,3,811.3,17.7,3884.1,5.87,6.855,7015.9,0.88993,0,test
P01,33,1,982.1,17.24,5541.5,6.81,6.826,7055.1,0.90735,0,test
P01,33,2,783.3,17.52,3582.7,5.63,6.804,7057.1,0.91657,0,test
P01,34,1,808.0,21.19,4611.0,4.98,6.693,7018.6,0.92881,0,test
P01,34,2,835.3,17.61,4095.7,3.39,6.689,7040.4,0.94081,0,test
P01,34,3,825.8,22.2,5047.9,4.54,6.714,7029.7,0.95403,0,test
P01,35,1,918.2,17.02,4784.0,6.03,6.907,7042.3,0.96682,0,test
P01,35,2,907.4,16.33,4481.7,6.26,6.889,7031.5,0.97758,0,test
P01,36,1,876.1,19.32,4943.7,5.43,6.715,7019.0,0.992,0,test
P01,36,2,869.7,16.72,4214.4,5.92,6.735,7020.8,1.0,1,test
P02,1,1,779.8,18.45,3740.4,5.17,6.85,7001.2,0.00988,0,train
P02,1,2,791.2,21.96,4582.0,5.4,6.855,7002.2,0.0228,0,train
P02,1,3,747.6,19.06,3550.6,3.41,6.829,7011.0,0.03112,0,train
P02,2,1,939.9,15.24,4486.7,5.01,6.872,7003.1,0.04471,0,train
P02,2,2,876.9,22.61,5795.5,5.26,6.83,6993.1,0.06146,0,train
P02,2,3,854.0,17.84,4336.2,5.32,6.851,6997.3,0.07176,0,train
P02,3,1,930.6,17.62,5087.4,7.87,6.783,6983.4,0.08658,0,train
P02,3,2,755.6,18.85,3587.6,5.4,6.79,6981.5,0.09574,0,train
P02,4,1,861.8,16.86,4175.3,5.73,6.825,7009.0,0.10467,0,train
P02,4,2,842.8,17.61,4169.5,7.07,6.819,6992.6,0.11574,0,train
P02,5,1,938.4,22.09,6485.4,7.65,6.818,6983.1,0.13481,0,train
P02,5,2,802.8,12.59,2705.3,7.59,6.826,7001.9,0.14043,0,train
P02,6,1,1024.2,18.95,6626.1,3.94,6.923,6982.2,0.16135,0,train
P02,6,2,841.8,15.56,3674.7,4.84,6.884,6990.3,0.17061,0,train
P02,6,3,775.5,13.72,2751.6,4.42,6.928,6995.3,0.17671,0,train
P02,7,1,896.0,13.64,3648.7,5.62,6.959,6952.6,0.18629,0,train
P02,7,2,845.3,17.16,4086.1,4.26,6.933,6937.0,0.19494,0,train
P02,7,3,787.1,17.56,3626.9,7.01,6.954,6938.8,0.20562,0,train
P02,8,1,897.7,15.77,4236.3,7.06,6.806,7005.4,0.21778,0,train
P02,8,2,866.6,18.95,4742.7,7.98,6.831,7005.2,0.23021,0,train
P02,9,1,866.6,16.39,4104.3,8.65,6.72,6996.5,0.24052,0,train
P02,9,2,801.8,16.47,3530.1,7.18,6.73,7019.3,0.24925,0,train
P02,10,1,921.0,14.36,4061.4,5.53,6.973,6950.2,0.26061,0,train
P02,10,2,798.4,17.08,3628.4,5.66,6.959,6966.5,0.26945,0,train
P02,11,1,836.5,20.95,4885.9,5.16,6.761,6975.3,0.28335,0,train
P02,11,2,835.6,21.49,5002.1,6.22,6.73,6992.3,0.297,0,train
P02,11,3,818.6,18.5,4131.7,5.3,6.754,6994.2,0.30954,0,train
P02,12,1,885.2,20.58,5375.0,5.08,6.738,6993.8,0.32781,0,train
P02,12,2,813.7,20.24,4467.7,5.49,6.758,6994.5,0.33919,0,train
P02,12,3,806.1,18.45,3997.7,4.38,6.742,6996.0,0.34996,0,train
P02,13,1,935.1,22.78,6641.5,3.32,6.8,6992.1,0.37029,0,train
P02,13,2,852.5,20.34,4926.7,3.16,6.788,6991.2,0.38502,0,train
P02,13,3,840.4,20.76,4886.2,3.71,6.79,6985.6,0.39987,0,train
P02,14,1,960.5,16.85,5182.9,5.39,6.705,7025.2,0.41223,0,train
P02,14,2,727.5,15.4,2716.6,5.64,6.707,7007.3,0.41737,0,train
P02,15,1,847.1,21.31,5097.3,6.85,6.826,7016.8,0.43098,0,train
P02,15,2,814.6,15.21,3363.4,6.85,6.833,6999.7,0.43856,0,train
P02,16,1,932.3,18.75,5433.1,5.76,6.729,6998.1,0.45453,0,train
P02,16,2,777.1,16.71,3363.8,6.16,6.738,6999.1,0.46259,0,train
P02,17,1,925.7,17.72,5060.8,6.49,6.738,6970.7,0.47743,0,train
P02,17,2,921.7,17.88,5064.8,7.29,6.751,6979.9,0.49028,0,train
P02,18,1,932.6,18.37,5326.1,6.82,6.81,7033.7,0.50258,0,train
P02,18,2,801.1,19.57,4187.2,6.4,6.817,7021.8,0.51257,0,train
P02,19,1,948.9,18.61,5586.2,4.85,6.978,6986.7,0.52571,0,train
P02,19,2,901.7,17.02,4611.7,3.92,6.976,6991.1,0.53703,0,train
P02,19,3,838.6,18.23,4273.8,4.49,6.978,6999.8,0.54924,0,train
P02,20,1,969.1,19.38,6067.9,3.68,6.758,7017.1,0.56921,0,train
P02,20,2,795.4,18.04,3805.6,4.29,6.759,7001.5,0.57932,0,train
P02,20,3,847.2,20.03,4790.9,4.75,6.744,7017.4,0.593,0,train
P02,21,1,979.8,22.24,7115.9,6.9,6.783,6991.5,0.61611,0,train
P02,21,2,933.6,14.96,4345.4,5.78,6.788,6975.8,0.62839,0,train
P02,22,1,843.9,16.71,3966.4,3.57,6.804,6994.4,0.63925,0,train
P02,22,2,890.8,19.08,5047.1,4.3,6.814,6982.3,0.6551,0,train
P02,22,3,796.5,16.45,3478.8,6.02,6.799,6982.4,0.66228,0,train
P03,1,1,815.3,22.15,4908.4,3.68,6.989,6959.2,0.01194,0,test
P03,1,2,705.4,16.98,2816.2,3.29,6.995,6973.6,0.017,0,test
P03,1,3,692.8,15.48,2476.5,4.81,6.996,6971.7,0.02225,0,test
P03,2,1,828.9,15.42,3531.7,5.26,6.826,6990.2,0.02949,0,test
P03,2,2,713.4,15.53,2634.8,6.19,6.827,6985.6,0.03441,0,test
P03,3,1,732.8,18.78,3362.3,2.65,7.075,6965.2,0.04228,0,test
P03,3,2,704.4,18.39,3041.9,5.39,7.048,6977.2,0.04857,0,test
P03,3,3,710.4,18.67,3140.1,5.12,7.057,7002.5,0.0569,0,test
P03,4,1,700.4,16.07,2628.1,4.29,6.998,6966.4,0.06237,0,test
P03,4,2,655.2,19.21,2748.7,5.62,6.985,6973.2,0.06775,0,test
P03,4,3,758.0,14.35,2748.2,4.13,6.996,6950.9,0.07502,0,test
P03,5,1,767.4,15.99,3138.7,5.76,6.942,7026.7,0.08264,0,test
P03,5,2,699.3,18.63,3036.5,5.67,6.909,6995.5,0.08846,0,test
P03,5,3,699.1,14.82,2414.8,5.22,6.946,6991.7,0.09282,0,test
P03,6,1,783.1,23.82,4868.7,6.7,7.137,6997.5,0.10581,0,test
P03,6,2,742.7,12.51,2299.7,4.26,7.134,7006.4,0.11071,0,test
P03,7,1,810.9,13.34,2924.1,6.7,6.851,7011.5,0.11797,0,test
P03,7,2,756.4,16.82,3207.1,6.01,6.841,6995.8,0.12522,0,test
P03,8,1,741.4,15.79,2892.6,6.08,6.887,6982.2,0.13132,0,test
P03,8,2,755.0,16.57,3149.1,4.96,6.89,6969.5,0.13788,0,test
P03,8,3,718.3,14.28,2455.9,6.72,6.867,6969.0,0.14299,0,test
P03,9,1,807.4,24.05,5226.7,5.48,7.035,6978.7,0.15861,0,test
P03,9,2,714.2,16.98,2887.5,6.88,7.026,6958.5,0.16511,0,test
P03,10,1,762.6,19.34,3748.8,6.65,6.85,6974.1,0.17452,0,test
P03,10,2,716.5,18.21,3115.3,4.77,6.863,6978.1,0.1825,0,test
P03,11,1,780.9,13.85,2814.4,7.02,6.985,6996.4,0.18701,0,test
P03,11,2,638.2,19.17,2603.7,4.09,7.033,6996.6,0.19186,0,test
P03,11,3,802.4,19.01,4079.3,5.9,6.989,6982.3,0.20057,0,test
P03,12,1,769.5,16.93,3341.3,4.38,6.928,6982.4,0.20839,0,test
P03,12,2,718.6,15.69,2701.4,5.31,6.916,6976.9,0.21407,0,test
P03,13,1,739.1,20.74,3776.8,3.47,6.982,6965.0,0.22232,0,test
P03,13,2,671.4,19.78,2973.0,3.54,6.976,6984.2,0.22828,0,test
P03,13,3,684.5,15.25,2382.4,4.78,6.982,6983.8,0.23274,0,test
P03,14,1,751.3,18.62,3502.6,7.19,7.019,6956.0,0.2402,0,test
P03,14,2,746.0,19.09,3541.7,6.67,7.01,6965.5,0.24847,0,test
P03,15,1,789.7,17.92,3726.1,5.63,6.943,7001.2,0.25756,0,test
P03,15,2,727.4,15.5,2733.9,4.9,6.947,6995.5,0.26286,0,test
P03,16,1,750.8,17.4,3269.4,5.41,6.919,6993.7,0.27153,0,test
P03,16,2,724.8,17.33,3034.0,5.45,6.894,6998.6,0.27818,0,test
P03,16,3,703.5,15.99,2637.9,4.5,6.896,7017.1,0.28321,0,test
P03,17,1,834.6,18.55,4306.1,6.63,6.991,6991.1,0.29394,0,test
P03,17,2,685.1,18.8,2940.7,5.8,6.983,7016.4,0.30034,0,test
P03,17,3,768.1,18.35,3607.4,5.3,6.991,6963.2,0.30939,0,test
P03,18,1,785.3,18.04,3707.6,4.88,6.927,6981.4,0.31834,0,test
P03,18,2,794.1,18.8,3952.3,6.22,6.918,6970.8,0.32682,0,test
P03,19,1,831.6,17.59,4054.4,3.9,7.098,6995.9,0.33683,0,test
P03,19,2,758.4,16.81,3223.1,4.02,7.085,6991.0,0.34506,0,test
P03,19,3,708.6,22.89,3831.6,4.14,7.075,6977.9,0.35425,0,test
P03,20,1,832.3,19.34,4466.4,8.76,7.013,6994.7,0.36634,0,test
P03,20,2,742.3,22.44,4120.9,7.11,7.014,6991.2,0.37384,0,test
P03,21,1,824.5,14.34,3248.8,3.69,7.012,6944.4,0.38082,0,test
P03,21,2,713.6,19.52,3314.0,4.47,6.998,6946.4,0.38728,0,test
P03,21,3,743.3,15.26,2810.4,4.42,6.985,6937.8,0.39251,0,test
P03,22,1,829.0,20.99,4806.8,6.85,6.91,7018.7,0.40561,0,test
P03,22,2,779.3,14.13,2861.4,6.93,6.913,6996.0,0.41157,0,test
P03,23,1,691.3,20.81,3314.6,3.03,6.829,6975.5,0.41814,0,test
P03,23,2,708.5,18.08,3025.9,3.64,6.84,6950.3,0.42514,0,test
P03,23,3,724.4,19.4,3393.8,2.7,6.856,6971.9,0.43346,0,test
P03,24,1,784.4,19.01,3898.3,5.47,6.945,6982.5,0.44303,0,test
P03,24,2,801.4,19.91,4261.3,5.03,6.952,6978.1,0.45388,0,test
P03,24,3,774.9,14.07,2816.5,6.04,6.93,6966.6,0.45887,0,test
P03,25,1,843.1,14.68,3477.5,3.14,7.045,6976.4,0.46784,0,test
P03,25,2,713.2,19.19,3254.6,5.31,7.025,6973.7,0.47532,0,test
P03,25,3,818.6,17.41,3888.6,4.78,7.038,6979.4,0.48374,0,test
P03,26,1,856.3,16.69,4078.1,5.97,6.955,6953.9,0.49388,0,test
P03,26,2,790.7,14.54,3029.6,7.05,6.941,6966.7,0.49992,0,test
P03,27,1,808.4,18.69,4071.3,6.6,6.881,7012.9,0.50867,0,test
P03,27,2,771.5,17.25,3422.1,4.62,6.868,7021.4,0.51585,0,test
P03,28,1,790.2,14.48,3014.7,4.74,7.036,6988.7,0.52251,0,test
P03,28,2,876.0,14.95,3825.0,4.93,7.061,6980.8,0.53332,0,test
P03,28,3,747.7,18.33,3415.9,4.04,7.036,6982.8,0.54052,0,test
P03,29,1,758.9,21.27,4082.7,7.17,7.019,6972.8,0.55133,0,test
P03,29,2,750.1,19.83,3719.0,5.22,7.014,6987.2,0.5599,0,test
P03,29,3,779.1,17.23,3486.9,5.47,7.008,6998.9,0.56779,0,test
P03,30,1,776.8,21.29,4282.0,7.19,6.938,6997.8,0.57759,0,test
P03,30,2,746.5,23.38,4343.6,7.32,6.937,6993.8,0.58765,0,test
P03,30,3,734.3,16.34,2935.6,5.68,6.913,6989.6,0.59421,0,test
P03,31,1,828.7,19.02,4354.2,5.93,6.897,6968.3,0.60637,0,test
P03,31,2,874.8,18.05,4603.7,6.62,6.911,6981.6,0.61795,0,test
P03,32,1,891.0,13.97,3697.7,7.37,7.119,7002.9,0.62793,0,test
P03,32,2,846.5,16.29,3891.6,8.11,7.128,7019.0,0.63835,0,test
P03,33,1,753.8,13.3,2518.7,4.98,6.858,7004.7,0.64353,0,test
P03,33,2,763.3,15.25,2961.6,6.42,6.839,6992.1,0.6498,0,test
P03,33,3,794.4,16.39,3448.6,5.41,6.849,6988.4,0.65787,0,test
P03,34,1,845.1,15.01,3574.2,5.99,7.08,6974.8,0.6662,0,test
P03,34,2,827.5,15.5,3538.0,6.58,7.075,6971.3,0.67498,0,test
P03,35,1,848.9,22.2,5331.3,4.74,7.002,6971.0,0.68847,0,test
P03,35,2,744.3,17.87,3300.0,5.05,6.987,7000.1,0.6945,0,test
P03,35,3,784.2,15.64,3206.8,4.11,7.019,6960.6,0.70195,0,test
P03,36,1,865.3,17.63,4401.0,5.66,6.879,6982.2,0.71258,0,test
P03,36,2,828.1,19.77,4519.2,5.44,6.858,6966.8,0.72362,0,test
P03,37,1,875.8,21.16,5408.7,8.7,6.976,6989.0,0.73709,0,test
P03,37,2,834.6,12.99,3016.3,8.19,6.986,6982.6,0.74365,0,test
P03,38,1,835.9,18.18,4235.1,4.89,6.898,6973.6,0.75371,0,test
P03,38,2,726.3,17.78,3125.8,3.74,6.914,6991.4,0.76056,0,test
P03,38,3,827.3,19.34,4412.6,6.68,6.936,7000.6,0.773,0,test
P03,39,1,821.6,18.22,4099.9,4.63,6.998,6975.9,0.78264,0,test
P03,39,2,881.4,17.28,4474.5,3.07,6.986,6982.2,0.79551,0,test
P03,39,3,724.3,20.23,3538.1,4.67,7.002,6985.9,0.80386,0,test
P03,40,1,924.1,15.08,4293.9,6.03,6.987,6974.2,0.81452,0,test
P03,40,2,740.3,17.81,3253.2,5.78,6.968,6972.6,0.82202,0,test
P03,41,1,906.0,16.33,4468.7,5.52,6.917,6999.8,0.83059,0,test
P03,41,2,705.4,15.69,2602.4,6.36,6.904,6982.1,0.83636,0,test
P03,41,3,806.7,16.26,3526.9,4.6,6.911,7003.7,0.84375,0,test
P03,42,1,911.4,15.0,4153.8,3.67,6.972,6985.2,0.85514,0,test
P03,42,2,793.0,20.89,4379.5,4.71,6.951,6965.2,0.86576,0,test
P03,42,3,885.4,21.15,5527.6,3.31,6.954,6966.3,0.8806,0,test
P03,43,1,850.4,15.36,3703.5,7.23,6.82,6938.7,0.89016,0,test
P03,43,2,728.1,16.39,2896.9,7.09,6.832,6976.5,0.89567,0,test
P03,44,1,835.8,17.67,4115.1,7.0,7.021,7002.6,0.90461,0,test
P03,44,2,832.9,17.06,3945.6,5.72,7.027,7003.7,0.91353,0,test
P03,44,3,825.8,21.94,4987.3,5.46,7.01,6989.6,0.92872,0,test
P03,45,1,914.7,17.48,4874.1,5.44,6.95,6982.9,0.94043,0,test
P03,45,2,802.4,17.83,3825.8,6.21,6.962,6986.0,0.94758,0,test
P03,45,3,777.9,17.67,3564.8,5.43,6.943,6997.5,0.95428,0,test
P03,46,1,894.4,17.96,4788.4,4.86,6.869,6961.5,0.96636,0,test
P03,46,2,787.0,22.12,4567.0,6.5,6.874,6963.5,0.97629,0,test
P03,46,3,785.2,16.21,3331.3,5.15,6.868,6970.8,0.98284,0,test
P03,47,1,892.8,17.32,4603.1,6.49,7.017,6970.7,0.99504,0,test
P03,47,2,807.5,19.58,4255.7,7.57,7.023,6974.7,1.0,1,test
P04,1,1,951.2,15.36,4631.5,4.41,7.017,7022.0,0.01657,0,train
P04,1,2,899.8,19.41,5239.1,3.4,7.007,6996.6,0.03446,0,train
P04,1,3,916.7,16.0,4481.5,5.48,6.998,6977.7,0.05203,0,train
P04,2,1,955.7,20.11,6122.6,5.4,7.057,7026.9,0.07877,0,train
P04,2,2,827.9,16.67,3807.6,6.5,7.043,7018.1,0.08945,0,train
P04,3,1,997.2,13.96,4627.1,5.63,6.904,7013.5,0.10532,0,train
P04,3,2,992.8,15.77,5182.0,3.73,6.897,6998.1,0.12398,0,train
P04,3,3,850.1,18.04,4345.0,4.37,6.896,7018.2,0.1363,0,train
P04,4,1,893.0,22.12,5881.2,5.91,7.008,7008.6,0.15705,0,train
P04,4,2,947.6,16.17,4840.2,6.51,6.994,6992.8,0.17297,0,train
P04,4,3,820.2,13.96,3129.8,7.33,6.986,7034.6,0.18141,0,train
P04,5,1,950.6,22.29,6714.6,8.14,6.848,7020.8,0.2053,0,train
P04,5,2,876.1,15.94,4078.0,6.08,6.84,7027.5,0.21709,0,train
P04,6,1,900.5,19.88,5373.1,3.74,6.989,6983.5,0.23585,0,train
P04,6,2,867.5,16.26,4078.9,5.68,6.973,6991.0,0.24909,0,train
P04,6,3,904.6,16.51,4504.6,4.18,6.967,6975.0,0.26642,0,train
P04,7,1,946.0,15.98,4766.8,3.46,6.74,6991.8,0.28507,0,train
P04,7,2,937.5,19.32,5661.6,4.95,6.734,6975.9,0.3012,0,train
P04,7,3,930.7,20.24,5843.3,5.77,6.731,6992.6,0.31997,0,train
P04,8,1,923.4,22.33,6345.7,6.08,7.073,7026.2,0.34274,0,train
P04,8,2,832.0,15.03,3467.6,4.08,7.107,7016.7,0.35418,0,train
P04,9,1,978.9,18.41,5878.9,4.72,6.841,6977.8,0.37457,0,train
P04,9,2,940.1,15.66,4612.2,3.62,6.8,6987.7,0.38704,0,train
P04,9,3,909.2,19.29,5316.2,4.67,6.824,6993.2,0.40835,0,train
P04,10,1,992.2,18.62,6109.3,5.01,6.91,6992.0,0.42827,0,train
P04,10,2,929.9,19.53,5627.5,5.0,6.882,7004.4,0.45012,0,train
P04,11,1,972.6,15.21,4796.9,7.56,6.883,7011.3,0.46733,0,train
P04,11,2,880.5,19.79,5114.5,7.4,6.873,7018.3,0.48555,0,train
P04,12,1,1004.8,17.98,6051.4,4.46,6.937,6975.5,0.50565,0,train
P04,12,2,953.8,18.03,5468.0,6.54,6.898,6977.5,0.52555,0,train
P04,12,3,768.5,19.75,3888.1,4.93,6.906,6981.7,0.53606,0,train
P04,13,1,1003.2,17.12,5743.9,5.83,6.806,6978.4,0.55626,0,train
P04,13,2,933.4,22.31,6478.3,5.18,6.78,6984.1,0.58049,0,train
P04,13,3,911.7,16.67,4618.8,6.61,6.793,6994.2,0.59434,0,train
P04,14,1,1070.9,14.11,5392.5,8.01,6.982,7014.4,0.61133,0,train
P04,14,2,924.2,15.78,4493.3,7.23,6.98,7020.1,0.62711,0,train
P04,15,1,959.5,20.83,6393.2,10.03,6.943,7028.9,0.65095,0,train
P04,15,2,918.5,13.76,3869.7,8.58,6.948,7043.3,0.66375,0,train
P04,16,1,934.2,19.9,5790.1,7.82,6.804,6987.5,0.68127,0,train
P04,16,2,1003.2,16.76,5621.6,6.47,6.795,6996.4,0.69936,0,train
P04,17,1,1040.0,17.78,6410.1,4.65,6.806,7020.8,0.72201,0,train
P04,17,2,916.0,19.16,5358.0,4.63,6.792,7008.9,0.73876,0,train
P04,17,3,929.0,17.49,5032.0,4.78,6.781,7007.4,0.75516,0,train
P04,18,1,1064.5,20.32,7676.4,3.29,6.98,7005.5,0.78327,0,train
P04,18,2,891.9,15.83,4198.3,5.45,7.0,7014.8,0.79664,0,train
P04,18,3,852.7,21.0,5089.8,3.42,7.003,7010.6,0.81341,0,train
P04,19,1,1000.7,19.97,6665.9,5.78,6.781,6998.3,0.84007,0,train
P04,19,2,937.3,18.12,5305.2,5.23,6.757,7007.7,0.8606,0,train
P04,20,1,955.7,12.72,3873.5,5.97,6.907,6984.5,0.87031,0,train
P04,20,2,902.7,18.33,4977.6,3.68,6.913,6996.0,0.88963,0,train
P04,20,3,990.6,12.7,4154.8,4.45,6.931,6991.3,0.90339,0,train
P04,21,1,998.8,18.04,6000.8,6.9,6.932,6984.5,0.92141,0,train
P04,21,2,917.4,14.25,3999.2,6.04,6.923,6999.5,0.93324,0,train
P04,21,3,880.7,18.12,4685.8,6.77,6.945,7033.1,0.94967,0,train
P04,22,1,1066.2,18.69,7081.1,5.22,6.92,7003.3,0.98104,0,train
P04,22,2,861.6,20.66,5112.8,5.5,6.926,7003.2,0.99963,0,train
P04,23,1,1012.6,17.24,5892.5,5.74,7.033,7021.0,1.0,0,train
P04,23,2,862.8,11.31,2805.6,4.74,7.027,6997.1,1.0,1,train
P05,1,1,875.7,16.62,4249.4,5.82,6.913,7013.5,0.00983,0,train
P05,1,2,800.5,24.44,5220.0,5.32,6.905,7010.9,0.02517,0,train
P05,1,3,830.6,17.6,4047.2,5.25,6.887,7011.1,0.03428,0,train
P05,2,1,999.9,16.65,5548.8,5.45,6.841,7029.0,0.04912,0,train
P05,2,2,804.5,19.85,4281.8,5.94,6.787,7016.5,0.06039,0,train
P05,2,3,785.2,17.34,3563.3,4.84,6.818,6978.0,0.0679,0,train
P05,3,1,905.0,17.43,4759.1,6.62,6.69,6986.8,0.08098,0,train
P05,3,2,839.8,22.65,5325.0,5.88,6.719,6983.7,0.09358,0,train
P05,4,1,841.4,13.91,3282.9,5.87,6.821,7019.6,0.10169,0,train
