press_id,press_model,cycle_index,ts_start,shift,glue_type,wood_species,wood_moisture_pct,charge_thickness_mm,charge_area_m2,cycle_duration_min,n_activations,t_hf_total_min,u_anode_v_mean,u_anode_v_std,i_anode_a_mean,i_anode_a_max,p_anode_kw,i_prim_rms_a,cos_phi,u_ripple_v,i_inrush_peak_a_max,t_inrush_ms_mean,i2t_cycle_a2s,i2t_cum_a2s,t_hall_c,t_cabinet_c,t_fuse_holder_c,dt_fuse_cabinet_k,r_fuse_est_mohm,press_hours_total,hydraulic_pressure_bar,glue_batch_id,fuse_blown,damage_true,rul_cycles,blow_within_5,censored,split
P01,HFP-3200,17,2025-09-21 15:18,S,PUR,Eiche,9.97,22.0,2.354,59.8,2,14.57,7018.8,10.18,6.795,6.817,47.69,83.36,0.9176,63.51,858.1,16.44,7822.4,162990.8,25.62,38.3,43.43,5.13,0.8224,39180.0,179.3,B3619,0,0.43065,19,0,0,test
P01,HFP-3200,18,2025-09-21 16:35,S,PVAc_D3,Fichte,12.03,38.0,1.83,70.6,3,17.29,7027.9,3.84,6.859,6.869,48.21,84.12,0.919,64.24,946.8,16.53,11887.1,174878.0,24.68,37.0,42.9,5.9,0.6578,39181.2,172.9,B8881,0,0.46443,18,0,0,test
P01,HFP-3200,19,2025-09-21 18:01,S,PVAc_D3,Fichte,9.01,38.0,2.678,72.1,2,17.04,7023.4,12.18,6.727,6.76,47.24,82.29,0.9207,68.21,884.3,20.83,10008.6,184886.6,24.26,36.91,39.82,2.91,1.0173,39182.4,181.6,B5609,0,0.49069,17,0,0,test
P01,HFP-3200,20,2025-09-21 19:31,S,PUR,Fichte,12.33,38.0,2.107,75.0,3,17.44,7053.6,11.33,6.87,6.903,48.46,84.44,0.9204,66.37,854.5,18.91,12540.3,197426.8,23.66,34.5,46.86,12.36,0.7924,39183.6,178.8,B4699,0,0.52625,16,0,0,test
P01,HFP-3200,21,2025-09-21 21:01,S,PUR,Esche,11.2,38.0,2.337,75.0,3,19.29,7028.9,11.59,6.836,6.86,48.05,84.89,0.9077,68.63,958.0,16.29,12405.8,209832.6,23.15,33.81,40.24,6.42,1.0439,39184.9,188.6,B3780,0,0.55884,15,0,0,test
P01,HFP-3200,22,2025-09-21 22:28,N,PVAc_D3,Fichte,11.06,25.0,2.551,59.1,2,12.77,7032.4,7.55,6.826,6.852,48.0,84.35,0.9127,70.4,863.5,18.27,8232.7,218065.3,21.69,34.17,41.28,7.11,0.9951,39185.9,180.6,B9462,0,0.58122,14,0,0,test
P01,HFP-3200,23,2025-09-21 23:48,N,PVAc_D3,Esche,7.8,38.0,2.853,72.5,3,16.47,7041.8,10.5,6.7,6.736,47.18,83.72,0.9037,69.0,883.8,21.04,14929.0,232994.3,20.68,32.82,40.03,7.21,0.8964,39187.1,169.2,B1058,0,0.62441,13,0,0,test
P01,HFP-3200,24,2025-09-22 01:15,N,PVAc_D4,Fichte,9.47,18.0,1.8,53.4,2,10.54,7030.0,8.64,6.7,6.744,47.1,83.02,0.9099,74.11,892.6,21.71,11174.4,244168.6,22.17,34.14,48.34,14.2,0.8098,39188.0,169.1,B5965,0,0.66168,12,0,0,test
P01,HFP-3200,25,2025-09-22 02:29,N,PVAc_D4,Fichte,7.8,38.0,2.933,75.0,2,17.4,7035.3,8.68,6.7,6.717,47.14,82.95,0.9113,73.83,878.0,17.41,8564.5,252733.2,18.81,29.58,43.94,14.36,0.7489,39189.2,176.0,B4462,0,0.68381,11,0,0,test
P01,HFP-3200,26,2025-09-22 03:56,N,PUR,Esche,10.37,18.0,1.89,53.8,3,11.41,7028.9,10.72,6.744,6.783,47.4,83.22,0.9135,70.31,890.3,17.26,11191.0,263924.1,21.68,32.86,42.96,10.1,0.9839,39190.1,174.9,B3271,0,0.71138,10,0,0,test
P01,HFP-3200,27,2025-09-22 05:11,N,PUR,Buche,11.49,38.0,2.677,75.0,3,18.65,7036.9,10.37,6.941,6.982,48.84,86.04,0.9103,76.9,949.9,18.35,14554.1,278478.3,21.02,33.13,40.92,7.79,0.9682,39191.4,187.3,B5857,0,0.75558,9,0,0,test
P01,HFP-3200,28,2025-09-22 06:40,F,PVAc_D4,Esche,9.88,18.0,2.7,52.6,2,10.0,7035.3,9.04,6.768,6.82,47.61,84.27,0.9061,64.86,919.6,16.95,8614.4,287092.7,19.93,31.44,47.34,15.9,1.2131,39192.2,180.4,B9255,0,0.77886,8,0,0,test
P01,HFP-3200,29,2025-09-22 07:51,F,PVAc_D4,Fichte,10.94,30.0,2.529,62.2,3,11.21,7041.4,10.81,6.81,6.827,47.95,85.53,0.8992,67.0,880.4,16.02,10927.5,298020.2,21.32,33.37,52.94,19.57,0.9537,39193.3,185.2,B4208,0,0.80833,7,0,0,test
P01,HFP-3200,30,2025-09-22 09:13,F,PVAc_D4,Buche,12.83,18.0,2.247,54.3,2,10.82,7036.5,12.77,6.921,6.952,48.7,85.15,0.9172,66.27,906.5,15.33,8116.9,306137.1,23.08,33.58,45.57,11.99,1.0192,39194.2,175.6,B6991,0,0.83307,6,0,0,test
P01,HFP-3200,31,2025-09-22 10:27,F,PUR,Esche,9.26,18.0,2.13,59.5,2,15.41,7023.3,13.51,6.796,6.825,47.73,83.18,0.9202,77.26,922.0,18.63,9341.0,315478.2,24.13,36.61,51.08,14.47,0.846,39195.2,188.2,B1853,0,0.85964,5,0,0,test
P01,HFP-3200,32,2025-09-22 11:41,F,PVAc_D4,Fichte,10.81,38.0,2.446,69.8,3,17.39,7017.0,10.5,6.843,6.883,48.02,85.44,0.9013,73.62,886.9,17.69,12043.4,327521.5,23.51,35.82,51.86,16.04,1.0041,39196.3,175.9,B6592,0,0.88993,4,1,0,test
P01,HFP-3200,33,2025-09-22 12:59,F,PVAc_D4,Buche,11.62,22.0,1.794,55.8,2,12.45,7049.1,10.1,6.826,6.872,48.12,85.59,0.9017,76.32,982.1,17.38,9124.1,336645.7,25.15,37.95,50.54,12.59,0.9462,39197.3,182.5,B9701,0,0.91657,3,1,0,test
P01,HFP-3200,34,2025-09-22 14:04,S,PVAc_D4,Buche,8.73,22.0,2.687,58.5,3,12.91,7025.0,9.29,6.7,6.713,47.07,82.18,0.9185,75.03,835.3,20.34,13754.6,350400.3,24.18,35.75,55.02,19.27,0.8659,39198.2,170.5,B5004,0,0.95403,2,1,0,test
P01,HFP-3200,35,2025-09-22 15:23,S,PVAc_D4,Buche,12.29,25.0,2.167,55.6,2,12.29,7040.9,5.06,6.904,6.93,48.61,84.34,0.9244,78.46,918.2,16.68,9265.7,359666.0,24.52,37.49,51.58,14.08,1.0375,39199.2,175.1,B9480,0,0.97758,1,1,0,test
P01,HFP-3200,36,2025-09-22 16:40,S,PVAc_D3,Eiche,8.99,25.0,2.891,62.0,2,11.35,7023.4,8.81,6.731,6.786,47.28,84.28,0.8996,76.76,876.1,18.02,9158.1,368824.1,26.41,37.41,50.24,12.83,0.8437,39200.2,175.0,B2629,1,1.0,0,1,0,test
P02,HFP-2400,1,2025-08-28 17:00,S,PUR,Fichte,11.73,22.0,2.038,54.2,3,13.98,7006.8,8.49,6.845,6.863,47.96,83.33,0.9229,56.26,791.2,19.82,11873.0,11873.0,26.78,36.61,43.07,6.46,0.6001,20051.0,172.6,B7000,0,0.03112,,,1,train
P02,HFP-2400,2,2025-08-28 18:02,S,PUR,Esche,10.78,25.0,1.962,60.6,3,15.59,6994.2,8.77,6.861,6.875,47.98,83.75,0.9189,59.16,939.9,18.56,14618.4,26491.5,25.21,36.42,42.61,6.19,0.6207,20052.0,183.0,B7777,0,0.07176,,,1,train
P02,HFP-2400,3,2025-08-28 19:20,S,PUR,Esche,9.26,25.0,2.498,60.2,2,13.27,6974.1,11.58,6.786,6.807,47.33,82.98,0.9146,62.19,930.6,18.24,8675.0,35166.5,24.52,35.3,44.51,9.22,0.8307,20053.0,168.7,B3548,0,0.09574,,,1,train
P02,HFP-2400,4,2025-08-28 20:33,S,PVAc_D4,Esche,10.57,22.0,1.715,58.3,2,12.81,6998.7,10.9,6.809,6.823,47.65,81.98,0.9322,58.42,861.8,17.24,8344.8,43511.3,25.2,36.75,44.11,7.36,0.4873,20054.0,182.4,B2398,0,0.11574,,,1,train
P02,HFP-2400,5,2025-08-28 21:42,S,PUR,Esche,10.49,22.0,2.126,61.1,2,15.24,6985.6,9.14,6.832,6.866,47.72,83.46,0.9171,65.2,938.4,17.34,9190.7,52702.0,24.32,35.6,42.54,6.94,0.6163,20055.0,165.1,B2430,0,0.14043,,,1,train
P02,HFP-2400,6,2025-08-28 23:04,N,PVAc_D4,Esche,13.22,25.0,1.955,61.9,3,13.2,6998.5,5.67,6.926,6.932,48.47,84.61,0.9188,62.24,1024.2,16.08,13052.4,65754.4,22.97,33.31,42.03,8.72,0.5675,20056.1,176.8,B9949,0,0.17671,,,1,train
P02,HFP-2400,7,2025-08-29 00:16,N,PVAc_D4,Esche,12.27,38.0,2.381,71.1,3,16.89,6952.6,8.45,6.942,6.991,48.26,84.03,0.9211,61.7,896.0,16.12,11361.6,77116.0,22.76,33.89,41.68,7.8,0.5569,20057.2,172.0,B9495,0,0.20562,,,1,train
P02,HFP-2400,8,2025-08-29 01:39,N,PUR,Fichte,11.48,22.0,2.304,58.9,2,15.04,7000.4,10.65,6.836,6.862,47.86,83.76,0.9163,66.11,897.7,17.36,8979.0,86095.0,22.07,32.64,45.47,12.83,0.6116,20058.2,175.5,B1908,0,0.23021,,,1,train
P02,HFP-2400,9,2025-08-29 02:55,N,PUR,Esche,9.04,22.0,2.32,64.8,2,15.82,6995.3,8.36,6.736,6.749,47.12,81.73,0.9246,58.43,866.6,16.43,7634.4,93729.4,21.9,31.91,41.88,9.97,0.7199,20059.3,179.6,B6160,0,0.24925,,,1,train
P02,HFP-2400,10,2025-08-29 04:13,N,PVAc_D3,Buche,12.37,18.0,2.367,53.9,2,11.18,6958.2,11.94,6.964,6.984,48.46,84.27,0.9222,60.4,921.0,15.72,7689.7,101419.1,23.48,35.26,43.37,8.12,0.9052,20060.2,173.7,B5993,0,0.26945,,,1,train
P02,HFP-2400,11,2025-08-29 05:28,N,PVAc_D4,Fichte,8.38,38.0,2.208,66.9,3,16.68,6987.9,12.35,6.749,6.769,47.16,81.7,0.9258,66.11,836.5,20.31,14019.7,115438.8,22.25,32.51,40.65,8.14,0.3387,20061.3,179.2,B9537,0,0.30954,,,1,train
P02,HFP-2400,12,2025-08-29 06:43,F,PVAc_D4,Esche,9.86,30.0,2.127,65.4,3,14.95,6999.0,12.59,6.743,6.752,47.2,83.0,0.9119,60.91,885.2,19.76,13840.3,129279.1,23.87,34.34,44.69,10.35,0.7761,20062.4,184.7,B1197,0,0.34996,,,1,train
P02,HFP-2400,13,2025-08-29 08:03,F,PVAc_D3,Esche,9.89,22.0,2.181,59.1,3,10.19,6995.6,9.96,6.791,6.823,47.51,82.99,0.9181,64.7,935.1,21.29,16454.5,145733.6,24.57,34.2,43.39,9.19,0.861,20063.4,183.9,B7221,0,0.39987,,,1,train
P02,HFP-2400,14,2025-08-29 09:15,F,PVAc_D3,Esche,8.97,18.0,2.011,53.6,2,11.03,7015.9,6.89,6.7,6.72,47.01,81.89,0.9206,68.58,960.5,16.13,7899.5,153633.1,24.91,35.38,47.25,11.88,0.7288,20064.3,164.1,B4177,0,0.41737,,,1,train
P02,HFP-2400,15,2025-08-29 10:18,F,PUR,Fichte,10.54,22.0,2.602,59.7,2,13.7,7001.3,10.62,6.84,6.866,47.89,83.86,0.9158,70.59,847.1,18.26,8460.6,162093.7,25.77,36.37,45.56,9.19,0.471,20065.3,178.9,B3269,0,0.43856,,,1,train
P02,HFP-2400,16,2025-08-29 11:28,F,PUR,Fichte,8.63,18.0,2.662,52.4,2,11.92,6997.3,9.22,6.719,6.744,47.02,82.24,0.9168,62.51,932.3,17.73,8796.8,170890.6,27.78,36.03,45.69,9.65,0.6462,20066.1,181.4,B2830,0,0.46259,,,1,train
P02,HFP-2400,17,2025-08-29 12:36,F,PVAc_D4,Fichte,10.07,22.0,2.285,60.1,2,13.77,6960.2,9.99,6.745,6.771,46.95,81.92,0.9192,65.45,925.7,17.8,10125.6,181016.2,26.8,37.88,49.93,12.05,0.8728,20067.1,175.0,B4110,0,0.49028,,,1,train
P02,HFP-2400,18,2025-08-29 13:52,F,PVAc_D3,Buche,11.33,22.0,2.578,60.7,2,13.22,7007.0,11.59,6.82,6.86,47.78,83.61,0.9166,66.3,932.6,18.97,9513.3,190529.5,27.77,40.11,51.52,11.41,0.9504,20068.2,181.6,B3074,0,0.51257,,,1,train
P02,HFP-2400,19,2025-08-29 15:11,S,PVAc_D4,Eiche,13.06,22.0,3.075,60.8,3,13.26,6991.9,5.31,6.979,7.001,48.8,86.35,0.9064,64.55,948.9,17.95,14471.7,205001.2,28.24,39.61,53.33,13.72,0.8922,20069.2,182.8,B3076,0,0.54924,,,1,train
P02,HFP-2400,20,2025-08-29 16:28,S,PUR,Esche,8.68,18.0,2.658,56.3,3,12.72,6996.3,9.69,6.749,6.794,47.22,83.01,0.9123,60.4,969.1,19.15,14664.5,219665.7,26.57,37.28,50.54,13.25,0.9289,20070.1,175.6,B7217,0,0.593,,,1,train
P02,HFP-2400,21,2025-08-29 17:32,S,PUR,Esche,10.18,22.0,2.336,61.8,2,12.68,6979.6,12.02,6.799,6.804,47.46,82.91,0.918,73.03,979.8,18.6,11461.3,231127.0,25.45,35.48,47.58,12.1,0.668,20071.1,172.2,B1093,0,0.62839,,,1,train
P02,HFP-2400,22,2025-08-29 18:50,S,PVAc_D4,Buche,10.75,30.0,1.847,67.3,3,13.9,6989.7,6.24,6.812,6.852,47.62,83.93,0.9099,63.53,890.8,17.41,12492.2,243619.2,27.37,37.67,52.05,14.38,0.9715,20072.3,177.2,B1830,0,0.66228,,,1,train
P03,HFP-3200,1,2025-04-10 15:00,S,PVAc_D4,Buche,11.16,30.0,2.414,61.9,3,11.79,6974.0,7.1,6.984,7.015,48.7,84.95,0.9195,48.71,815.3,18.2,10201.2,10201.2,21.47,28.67,35.33,6.66,0.6735,11348.9,170.7,B7063,0,0.02225,46,0,0,test
P03,HFP-3200,2,2025-04-10 16:14,S,PVAc_D3,Esche,8.79,18.0,2.27,51.2,2,11.45,6989.4,6.64,6.83,6.857,47.74,82.76,0.9252,52.53,828.9,15.48,6166.5,16367.7,21.31,31.63,31.38,-0.25,0.5512,11349.7,168.9,B9652,0,0.03441,45,0,0,test
P03,HFP-3200,3,2025-04-10 17:20,S,PVAc_D3,Fichte,12.64,18.0,2.529,53.3,3,13.17,6973.6,10.88,7.058,7.08,49.22,85.3,0.9255,52.03,732.8,18.61,9544.4,25912.1,22.61,31.3,36.01,4.7,0.5278,11350.6,189.6,B8729,0,0.0569,44,0,0,test
P03,HFP-3200,4,2025-04-10 18:28,S,PUR,Esche,10.95,18.0,1.55,50.4,3,14.04,6961.1,8.36,6.985,7.034,48.63,84.7,0.9207,50.99,758.0,16.54,8125.0,34037.1,20.04,29.05,32.92,3.86,0.78,11351.5,180.1,B6515,0,0.07502,43,0,0,test
P03,HFP-3200,5,2025-04-10 19:39,S,PUR,Fichte,11.02,25.0,1.876,65.5,3,16.65,6997.6,10.89,6.935,6.959,48.53,85.12,0.9143,49.09,767.4,16.48,8590.0,42627.0,21.39,29.78,33.89,4.11,0.6145,11352.6,185.5,B2425,0,0.09282,42,0,0,test
P03,HFP-3200,6,2025-04-10 21:05,S,PVAc_D3,Eiche,13.63,18.0,2.513,53.8,2,10.96,6992.3,10.8,7.15,7.18,49.99,87.71,0.9141,53.5,783.1,18.16,7168.4,49795.4,19.2,31.1,32.38,1.28,0.4533,11353.4,182.6,B7190,0,0.11071,41,0,0,test
P03,HFP-3200,7,2025-04-10 22:14,N,PVAc_D4,Buche,8.4,22.0,2.656,64.3,2,12.71,7004.1,11.48,6.839,6.859,47.9,83.21,0.9233,52.16,810.9,15.08,6131.2,55926.6,16.44,22.92,28.97,6.05,0.6348,11354.5,174.4,B9805,0,0.12522,40,0,0,test
P03,HFP-3200,8,2025-04-10 23:28,N,PVAc_D4,Eiche,9.74,30.0,2.097,67.2,3,17.76,6979.1,12.06,6.88,6.921,48.02,83.89,0.918,51.95,755.0,15.55,8497.5,64424.2,17.34,26.26,32.14,5.88,0.4611,11355.6,183.6,B9416,0,0.14299,39,0,0,test
P03,HFP-3200,9,2025-04-11 00:54,N,PVAc_D3,Esche,9.64,22.0,2.747,63.4,2,12.35,6971.4,10.22,7.017,7.03,48.92,86.29,0.9092,51.94,807.4,20.52,8114.2,72538.3,18.39,26.72,29.52,2.8,0.6363,11356.7,175.1,B9913,0,0.16511,38,0,0,test
P03,HFP-3200,10,2025-04-11 02:10,N,PVAc_D4,Buche,8.94,18.0,2.122,49.5,2,11.42,6971.8,13.52,6.855,6.874,47.79,82.26,0.9317,57.57,762.6,18.77,6864.1,79402.4,14.92,24.14,26.55,2.41,0.6755,11357.5,170.1,B4261,0,0.1825,37,0,0,test
P03,HFP-3200,11,2025-04-11 03:09,N,PUR,Eiche,10.49,38.0,2.503,75.0,3,17.0,6996.9,10.19,6.992,7.012,48.92,85.86,0.9138,53.9,802.4,17.34,9497.4,88899.8,16.44,27.26,27.67,0.41,0.8496,11358.8,180.2,B2683,0,0.20057,36,0,0,test
P03,HFP-3200,12,2025-04-11 04:33,N,PVAc_D4,Buche,10.15,18.0,2.177,49.5,2,9.69,6978.3,10.16,6.904,6.944,48.18,83.97,0.9202,55.3,769.5,16.31,6042.7,94942.5,16.31,25.19,32.44,7.25,0.6575,11359.6,196.0,B7189,0,0.21407,35,0,0,test
P03,HFP-3200,13,2025-04-11 05:35,N,PVAc_D4,Eiche,10.98,18.0,1.822,53.9,3,11.8,6974.8,12.35,6.961,6.977,48.55,83.98,0.9271,58.87,739.1,18.59,9132.2,104074.8,17.69,24.26,29.08,4.82,0.5399,11360.5,178.8,B4668,0,0.23274,34,0,0,test
P03,HFP-3200,14,2025-04-11 06:43,F,PVAc_D4,Fichte,11.47,22.0,2.405,55.5,2,13.86,6961.4,9.42,7.019,7.042,48.86,85.31,0.9186,58.81,751.3,18.86,7044.3,111119.0,18.99,26.47,31.93,5.46,0.7052,11361.4,178.9,B7304,0,0.24847,33,0,0,test
P03,HFP-3200,15,2025-04-11 07:54,F,PVAc_D4,Fichte,10.03,18.0,2.752,53.0,2,10.53,6991.5,7.35,6.944,6.981,48.55,84.48,0.9217,50.21,789.7,16.71,6460.0,117579.0,15.2,23.7,26.21,2.51,0.5934,11362.3,175.4,B9986,0,0.26286,32,0,0,test
P03,HFP-3200,16,2025-04-11 08:56,F,PVAc_D3,Fichte,10.02,38.0,2.229,70.6,3,15.36,7008.4,8.18,6.901,6.927,48.37,84.68,0.916,60.34,750.8,16.9,8941.3,126520.2,16.99,27.42,29.45,2.03,0.6386,11363.5,178.9,B2397,0,0.28321,31,0,0,test
P03,HFP-3200,17,2025-04-11 10:21,F,PUR,Eiche,10.15,30.0,2.288,72.4,3,17.73,6993.1,8.12,6.985,7.027,48.84,85.09,0.9207,52.23,834.6,18.56,10854.3,137374.5,19.39,26.57,31.03,4.46,0.7591,11364.7,175.1,B6817,0,0.30939,30,0,0,test
P03,HFP-3200,18,2025-04-11 11:43,F,PVAc_D3,Buche,10.21,18.0,1.842,49.5,2,11.09,6981.2,7.11,6.915,6.95,48.28,85.02,0.9107,55.82,794.1,18.42,7659.9,145034.4,17.64,25.21,32.66,7.45,0.6467,11365.5,185.6,B6451,0,0.32682,29,0,0,test
P03,HFP-3200,19,2025-04-11 12:46,F,PVAc_D3,Esche,12.45,30.0,2.202,61.3,3,12.07,6991.7,4.38,7.095,7.145,49.61,86.72,0.9174,55.09,831.6,19.1,11109.1,156143.5,20.02,27.74,32.66,4.92,0.7567,11366.5,178.8,B8416,0,0.35425,28,0,0,test
P03,HFP-3200,20,2025-04-11 13:57,F,PVAc_D4,Eiche,11.91,38.0,2.582,69.6,2,15.87,6991.2,9.5,7.019,7.068,49.07,86.76,0.9071,59.23,832.3,20.89,8587.3,164730.8,20.55,29.07,37.62,8.54,0.7261,11367.7,177.1,B4505,0,0.37384,27,0,0,test
P03,HFP-3200,21,2025-04-11 15:26,S,PUR,Eiche,10.57,22.0,2.698,57.9,3,12.58,6943.1,10.77,6.996,7.026,48.57,85.64,0.9096,68.03,824.5,16.37,9373.3,174104.0,21.34,28.54,36.07,7.53,0.6979,11368.7,167.8,B1700,0,0.39251,26,0,0,test
P03,HFP-3200,22,2025-04-11 16:33,S,PUR,Buche,8.88,25.0,2.403,65.7,2,13.78,6996.2,8.66,6.921,6.942,48.42,85.37,0.9096,58.74,829.0,17.56,7668.2,181772.2,22.71,31.83,36.62,4.78,0.7041,11369.8,169.3,B2225,0,0.41157,25,0,0,test
P03,HFP-3200,23,2025-04-11 17:55,S,PVAc_D4,Esche,8.45,18.0,2.885,55.5,3,9.38,6969.8,8.77,6.844,6.852,47.7,83.6,0.915,64.72,724.4,19.43,9734.3,191506.5,21.64,29.7,36.96,7.26,0.6974,11370.7,181.5,B2785,0,0.43346,24,0,0,test
P03,HFP-3200,24,2025-04-11 19:01,S,PUR,Esche,9.45,30.0,2.799,66.8,3,16.54,6981.4,12.62,6.955,6.996,48.56,84.99,0.9162,59.63,801.4,17.66,10976.1,202482.6,20.7,30.16,36.65,6.48,0.7551,11371.8,176.3,B8823,0,0.45887,23,0,0,test
P03,HFP-3200,25,2025-04-11 20:25,S,PVAc_D4,Eiche,12.0,22.0,1.902,54.2,3,13.23,6981.6,8.26,7.036,7.067,49.12,86.22,0.9137,60.91,843.1,17.09,10620.8,213103.4,20.21,27.44,34.63,7.19,0.8465,11372.7,184.4,B6218,0,0.48374,22,0,0,test
P03,HFP-3200,26,2025-04-11 21:39,S,PVAc_D4,Fichte,10.85,22.0,2.471,56.8,2,13.01,6972.6,10.33,6.953,6.988,48.48,85.66,0.9078,57.66,856.3,15.61,7107.7,220211.1,19.97,29.13,35.91,6.77,0.7972,11373.6,186.0,B3351,0,0.49992,21,0,0,test
